order,role,framerTarget,hash,name,kind,originalWidth,originalHeight,originalBytes,sourcePath,optimizedPath,optimizedBytes,optimizedWidth,optimizedHeight,uploadToFramerThenReplace
41,poster installation photo 2,grid node ruUAJWfdO item 2,B1559038724673473126130937746965,DSC02502.jpeg,image,4000,6000,10941195,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/B1559038724673473126130937746965__DSC02502.jpeg,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/B1559038724673473126130937746965__DSC02502.webp,162696,1200,1800,
42,poster promo video,grid node ruUAJWfdO item 3 video,D1559036843585192953673121256981,Seek-Truth-Promo-Video.mp4,video,1080,1920,19544164,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/D1559036843585192953673121256981__Seek-Truth-Promo-Video.mp4,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/D1559036843585192953673121256981__Seek-Truth-Promo-Video.mp4,8833382,,,
43,process square video,grid node vAkXWR8qp item 1 video,B1559462854611292792440710485525,Seek-Truth.mp4,video,1080,1080,280657,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/B1559462854611292792440710485525__Seek-Truth.mp4,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/B1559462854611292792440710485525__Seek-Truth.mp4,61171,,,
44,process landscape video,grid node vAkXWR8qp item 2 video,N1559502828724147265112771909141,Comp-1.mp4,video,2272,1704,4432494,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/N1559502828724147265112771909141__Comp-1.mp4,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/N1559502828724147265112771909141__Comp-1.mp4,1601664,,,
45,process photo 1,grid node eMTFBhpPX item 1,E1555297459249976447277121918485,_DSC3468.jpg,image,4000,6000,16323156,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/E1555297459249976447277121918485___DSC3468.jpg,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/E1555297459249976447277121918485___DSC3468.webp,163242,1200,1800,
46,process photo 2,grid node eMTFBhpPX item 2,F1555297459120849238761155057173,_DSC3489.jpg,image,4000,6000,20251087,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/F1555297459120849238761155057173___DSC3489.jpg,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/F1555297459120849238761155057173___DSC3489.webp,392504,1200,1800,
47,process photo 3,grid node eMTFBhpPX item 3,B1555297459157742726908574160405,_DSC3483.jpg,image,6000,4000,20088988,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/B1555297459157742726908574160405___DSC3483.jpg,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/B1555297459157742726908574160405___DSC3483.webp,288716,1800,1200,
48,process photo 4,grid node eMTFBhpPX item 4,T1559026110420940642065351693845,IMG_1174.JPG,image,4032,3024,3655122,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/T1559026110420940642065351693845__IMG_1174.jpg,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/T1559026110420940642065351693845__IMG_1174.webp,235820,1800,1350,
49,process photo 5,grid node eMTFBhpPX item 5,J1555297459213082959129702815253,_DSC3474.jpg,image,6000,4000,18641260,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/J1555297459213082959129702815253___DSC3474.jpg,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/J1555297459213082959129702815253___DSC3474.webp,300588,1800,1200,
50,process photo 6,grid node eMTFBhpPX item 6,W1555297459139295982834864608789,_DSC3486.jpg,image,6000,4000,17492432,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/W1555297459139295982834864608789___DSC3486.jpg,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/W1555297459139295982834864608789___DSC3486.webp,288974,1800,1200,
51,propaganda original,native image layer pZP_qCcSu,Y1559422765003373674273146394133,propaganda-3.png,image,5040,3780,23889760,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/Y1559422765003373674273146394133__propaganda-3.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/Y1559422765003373674273146394133__propaganda-3.webp,284178,2200,1650,
52,propaganda reinterpretation,native image layer zRmTtVVHR,A1559427489749486529426892248597,Propaganda.png,image,4800,3600,17356181,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/A1559427489749486529426892248597__Propaganda.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/A1559427489749486529426892248597__Propaganda.webp,285470,2200,1650,
53,interior spread,SeekTruthCargoSlideshow / interior grid,F1556789805457225568430244222485,Open-Pages---Portrait-7.png,image,4400,3300,9687213,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/F1556789805457225568430244222485__Open-Pages---Portrait-7.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/F1556789805457225568430244222485__Open-Pages---Portrait-7.webp,254794,1800,1350,
54,interior spread,SeekTruthCargoSlideshow / interior grid,X1556858324504581557031505483285,Open-Pages---Portrait-Recovered7.png,image,1666,1250,1537455,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/X1556858324504581557031505483285__Open-Pages---Portrait-Recovered7.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/X1556858324504581557031505483285__Open-Pages---Portrait-Recovered7.webp,161982,1666,1250,
55,interior spread,SeekTruthCargoSlideshow / interior grid,E1556858324523028301105215034901,Open-Pages---Portrait-Recovered8.png,image,1666,1250,1350618,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/E1556858324523028301105215034901__Open-Pages---Portrait-Recovered8.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/E1556858324523028301105215034901__Open-Pages---Portrait-Recovered8.webp,148960,1666,1250,
56,interior spread,SeekTruthCargoSlideshow / interior grid,V1556871671148193999587419346453,Untitled-1.png,image,1666,1250,1816049,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/V1556871671148193999587419346453__Untitled-1.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/V1556871671148193999587419346453__Untitled-1.webp,167394,1666,1250,
57,poster promo video poster,,Q1559036857438697753028994520597,Seek-Truth-Promo-Video.jpg,image,1080,1920,,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/Q1559036857438697753028994520597__Seek-Truth-Promo-Video.jpg,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/Q1559036857438697753028994520597__Seek-Truth-Promo-Video.webp,373786,788,1400,
58,process square video poster,,J1559462865384191331487088629269,Seek-Truth.jpg,image,1080,1080,,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/J1559462865384191331487088629269__Seek-Truth.jpg,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/J1559462865384191331487088629269__Seek-Truth.webp,27340,1080,1080,
59,process landscape video poster,,W1559502837228096283092875204117,Comp-1.jpg,image,2272,1704,,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/W1559502837228096283092875204117__Comp-1.jpg,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/W1559502837228096283092875204117__Comp-1.webp,2706,1400,1050,
